School,Grade Levels,Hours,Address
Grattan Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","165 Grattan Street , San Francisco, California 94117"
Guadalupe Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","859 Prague Street , San Francisco, California 94112"
Harvey Milk Civil Rights Academy,"Elementary School (TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","4235 19th Street , San Francisco, California 94114"
Herbert Hoover Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","2290 14th Avenue , San Francisco, California 94116"
Hillcrest Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","810 Silver Avenue , San Francisco, California 94134"
Hilltop + El Camino Alternativo Schools,County School (7-12),"Mo - Th: 9:30 am-2:00 pm
Fr: 9:30 am-1:15 pm","2730 Bryant Street , San Francisco, California 94110"
Ida B. Wells High School,High School (9-12),"Mo - Tu: 9:30 am-2:40 pm
We: 9:30 am-1:50 pm
Th - Fr: 9:30 am-2:40 pm","1099 Hayes Street , San Francisco, California 94117"
Independence High School,High School (9-12),"Mo - Th: 9:00 am-3:00 pm
Fr: 9:00 am-12:45 pm","1350 7th Avenue , San Francisco, California 94122"
James Denman Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","241 Oneida Avenue , San Francisco, California 94112"
James Lick Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","1220 Noe Street , San Francisco, California 94114"
Jean Parker Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","840 Broadway Street , San Francisco, California 94133"
Jefferson Early Education School,Early Education (PreK),Mo - Fr: 8:00 am-5:30 pm,"1350 25th Avenue , San Francisco, California 94122"
Jefferson Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","1725 Irving Street , San Francisco, California 94122"
John McLaren Early Education School,"Early Education (PreK, TK)",Mo - Fr: 7:30 am-5:30 pm,"2055 Sunnydale Avenue East Building With No Mural, San Francisco, California 94134"
John Muir Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","380 Webster Street , San Francisco, California 94117"
John O'Connell High School,High School (9-13),"Mo - Tu: 8:40 am-3:45 pm
We: 8:40 am-1:50 pm
Th - Fr: 8:40 am-3:45 pm","2355 Folsom Street , San Francisco, California 94110"
John Yehall Chin Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","350 Broadway , San Francisco, California 94133"
Jose Ortega Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","400 Sargent Street , San Francisco, California 94132"
June Jordan School for Equity,High School (9-12),"Mo - Tu: 8:40 am-3:50 pm
We: 8:40 am-1:15 pm
Th - Fr: 8:40 am-3:50 pm","325 La Grande Avenue , San Francisco, California 94112"
Junipero Serra Annex Early Education School,"Early Education (PreK, TK)",Mo - Fr: 7:30 am-5:30 pm,"155 Appleton Avenue , San Francisco, California 94110"
